Transaction_ID,Customer_ID,Transaction_Amount (in Million),Transaction_Time,Transaction_Date,Transaction_Type,Merchant_ID,Merchant_Category,Transaction_Location,Customer_Home_Location,Distance_From_Home,Device_ID,IP_Address,Card_Type,Account_Balance (in Million),Daily_Transaction_Count,Weekly_Transaction_Count,Avg_Transaction_Amount (in Million),Max_Transaction_Last_24h (in Million),Is_International_Transaction,Is_New_Merchant,Failed_Transaction_Count,Unusual_Time_Transaction,Previous_Fraud_Count,Fraud_Label
431438,24239,6,10:54,3/8/2025,POS,97028,ATM,Singapore,Lahore,466,363229,231.92.159.84,Credit,30,4,17,2,4,Yes,Yes,0,No,1,Normal
902451,77250,9,19:23,1/17/2025,ATM,27515,ATM,Singapore,Lahore,215,480487,140.98.205.212,Credit,4,4,9,5,8,Yes,Yes,1,No,1,Normal
223410,34294,3,10:20,4/30/2025,POS,13810,Electronics,Faisalabad,Faisalabad,216,297313,199.72.40.86,Debit,38,5,18,5,8,Yes,No,0,Yes,1,Normal
145626,92041,1,14:11,2/21/2025,Online,10501,Grocery,London,Karachi,408,948506,209.30.4.37,Debit,22,6,18,5,1,No,Yes,2,Yes,1,Normal
414637,71578,1,4:12,4/11/2025,Online,53569,Electronics,Singapore,Islamabad,209,954201,73.140.112.60,Debit,10,3,18,4,3,No,Yes,1,No,1,Normal
627496,31399,7,15:34,4/25/2025,Online,80890,Electronics,Karachi,Multan,385,604441,38.190.45.178,Credit,5,5,2,4,6,No,No,0,No,1,Normal
275195,67878,9,9:17,2/17/2025,ATM,96513,Fuel,Lahore,Islamabad,546,588577,100.181.26.59,Credit,15,7,10,2,9,No,No,0,Yes,0,Normal
684837,40546,1,22:17,3/25/2025,ATM,38226,ATM,Bangkok,Faisalabad,106,606020,198.204.214.246,Debit,10,3,5,5,7,Yes,Yes,0,No,1,Normal
710739,35799,8,5:43,2/6/2025,ATM,79346,Electronics,Multan,Faisalabad,383,578150,34.208.247.48,Debit,16,3,13,5,6,No,Yes,2,No,0,Normal
683520,26010,2,18:06,2/4/2025,ATM,57527,Electronics,London,Multan,504,681527,158.221.161.52,Credit,23,4,14,2,2,No,Yes,0,Yes,1,Normal
898341,81962,8,16:49,2/20/2025,POS,88013,Fuel,Faisalabad,Islamabad,47,674470,239.117.246.162,Debit,37,6,8,1,5,Yes,No,1,No,0,Normal
660635,99439,5,23:50,1/12/2025,ATM,17739,ATM,Lahore,Lahore,46,264108,175.160.2.171,Debit,33,1,17,4,6,No,Yes,0,Yes,1,Normal
572953,16647,4,11:35,4/6/2025,Online,67657,Grocery,London,Karachi,299,686419,25.121.65.14,Credit,24,1,1,2,4,No,No,0,Yes,0,Normal
574874,67961,4,0:51,3/24/2025,ATM,74937,Grocery,Singapore,Karachi,476,457873,122.71.103.220,Credit,13,5,8,3,1,Yes,Yes,2,Yes,0,Fraud
937659,71544,6,15:50,3/4/2025,Online,76066,ATM,London,Multan,131,156352,171.161.60.148,Credit,19,3,21,5,1,No,Yes,2,Yes,1,Normal
521551,80965,2,3:49,1/28/2025,ATM,41227,ATM,Singapore,Multan,308,328450,123.114.93.98,Credit,11,6,18,3,2,Yes,Yes,2,Yes,1,Normal
884941,44495,6,19:05,3/8/2025,POS,62567,ATM,Islamabad,Karachi,568,436709,33.172.25.39,Debit,20,3,2,3,8,No,No,1,No,0,Normal
108171,11928,1,15:41,1/10/2025,Online,42828,Restaurant,Kuala Lumpur,Faisalabad,10,368757,37.244.104.248,Debit,18,6,17,5,1,No,Yes,2,Yes,0,Normal
146030,95277,8,13:22,4/23/2025,Online,51759,Fuel,Kuala Lumpur,Lahore,338,885330,37.155.102.151,Credit,18,2,16,5,5,Yes,No,2,No,1,Normal
731894,46627,2,0:04,4/24/2025,POS,27901,Electronics,Singapore,Karachi,181,908400,253.17.246.211,Credit,21,7,9,5,5,No,Yes,2,Yes,1,Normal
691659,84394,3,12:09,2/1/2025,ATM,69599,Grocery,Islamabad,Multan,174,506553,196.136.124.206,Credit,20,2,16,2,6,Yes,No,0,No,0,Normal
589323,75274,5,16:29,4/18/2025,ATM,64305,Electronics,Singapore,Karachi,565,686953,35.254.29.80,Debit,9,7,24,5,6,Yes,Yes,1,Yes,1,Normal
952375,97352,5,14:39,3/15/2025,POS,21221,Restaurant,Kuala Lumpur,Multan,49,184424,11.73.89.39,Credit,35,4,21,3,7,Yes,Yes,1,No,0,Normal
433935,77815,4,12:26,1/11/2025,ATM,38082,Restaurant,Lahore,Faisalabad,322,867596,53.187.178.186,Debit,37,4,6,1,1,Yes,Yes,1,No,1,Normal
472909,53872,4,10:40,4/7/2025,Online,40597,Grocery,Dubai,Faisalabad,89,460100,71.3.65.239,Credit,20,4,13,5,4,Yes,Yes,2,No,1,Normal
