Transaction_ID,Customer_ID,Transaction_Amount,Transaction_Time,Transaction_Date,Transaction_Type,Merchant_ID,Merchant_Category,Transaction_Location,Customer_Home_Location,Distance_From_Home,Device_ID,IP_Address,Card_Type,Account_Balance,Daily_Transaction_Count,Weekly_Transaction_Count,Avg_Transaction_Amount,Max_Transaction_Last_24h,Is_International,Is_New_Merchant,Failed_Transaction_Count,Unusual_Time,Previous_Fraud_Count,Fraud_Label,Month,DayOfWeek,DayName,Hour
431438.0,24239.0,6.0,10:54,2025-03-08,POS,97028.0,ATM,Singapore,Lahore,466.0,363229.0,231.92.159.84,Credit,30.0,4.0,17.0,2.0,4.0,Yes,Yes,0.0,No,1.0,Normal,3,5,Saturday,10
902451.0,77250.0,9.0,19:23,2025-01-17,ATM,27515.0,ATM,Singapore,Lahore,215.0,480487.0,140.98.205.212,Credit,4.0,4.0,9.0,5.0,8.0,Yes,Yes,1.0,No,1.0,Normal,1,4,Friday,19
223410.0,34294.0,3.0,10:20,2025-04-30,POS,13810.0,Electronics,Faisalabad,Faisalabad,216.0,297313.0,199.72.40.86,Debit,38.0,5.0,18.0,5.0,8.0,Yes,No,0.0,Yes,1.0,Normal,4,2,Wednesday,10
145626.0,92041.0,1.0,14:11,2025-02-21,Online,10501.0,Grocery,London,Karachi,408.0,948506.0,209.30.4.37,Debit,22.0,6.0,18.0,5.0,1.0,No,Yes,2.0,Yes,1.0,Normal,2,4,Friday,14
414637.0,71578.0,1.0,4:12,2025-04-11,Online,53569.0,Electronics,Singapore,Islamabad,209.0,954201.0,73.140.112.60,Debit,10.0,3.0,18.0,4.0,3.0,No,Yes,1.0,No,1.0,Normal,4,4,Friday,4
627496.0,31399.0,7.0,15:34,2025-04-25,Online,80890.0,Electronics,Karachi,Multan,385.0,604441.0,38.190.45.178,Credit,5.0,5.0,2.0,4.0,6.0,No,No,0.0,No,1.0,Normal,4,4,Friday,15
275195.0,67878.0,9.0,9:17,2025-02-17,ATM,96513.0,Fuel,Lahore,Islamabad,546.0,588577.0,100.181.26.59,Credit,15.0,7.0,10.0,2.0,9.0,No,No,0.0,Yes,0.0,Normal,2,0,Monday,9
684837.0,40546.0,1.0,22:17,2025-03-25,ATM,38226.0,ATM,Bangkok,Faisalabad,106.0,606020.0,198.204.214.246,Debit,10.0,3.0,5.0,5.0,7.0,Yes,Yes,0.0,No,1.0,Normal,3,1,Tuesday,22
710739.0,35799.0,8.0,5:43,2025-02-06,ATM,79346.0,Electronics,Multan,Faisalabad,383.0,578150.0,34.208.247.48,Debit,16.0,3.0,13.0,5.0,6.0,No,Yes,2.0,No,0.0,Normal,2,3,Thursday,5
683520.0,26010.0,2.0,18:06,2025-02-04,ATM,57527.0,Electronics,London,Multan,504.0,681527.0,158.221.161.52,Credit,23.0,4.0,14.0,2.0,2.0,No,Yes,0.0,Yes,1.0,Normal,2,1,Tuesday,18
898341.0,81962.0,8.0,16:49,2025-02-20,POS,88013.0,Fuel,Faisalabad,Islamabad,47.0,674470.0,239.117.246.162,Debit,37.0,6.0,8.0,1.0,5.0,Yes,No,1.0,No,0.0,Normal,2,3,Thursday,16
660635.0,99439.0,5.0,23:50,2025-01-12,ATM,17739.0,ATM,Lahore,Lahore,46.0,264108.0,175.160.2.171,Debit,33.0,1.0,17.0,4.0,6.0,No,Yes,0.0,Yes,1.0,Normal,1,6,Sunday,23
572953.0,16647.0,4.0,11:35,2025-04-06,Online,67657.0,Grocery,London,Karachi,299.0,686419.0,25.121.65.14,Credit,24.0,1.0,1.0,2.0,4.0,No,No,0.0,Yes,0.0,Normal,4,6,Sunday,11
574874.0,67961.0,4.0,0:51,2025-03-24,ATM,74937.0,Grocery,Singapore,Karachi,476.0,457873.0,122.71.103.220,Credit,13.0,5.0,8.0,3.0,1.0,Yes,Yes,2.0,Yes,0.0,Fraud,3,0,Monday,0
937659.0,71544.0,6.0,15:50,2025-03-04,Online,76066.0,ATM,London,Multan,131.0,156352.0,171.161.60.148,Credit,19.0,3.0,21.0,5.0,1.0,No,Yes,2.0,Yes,1.0,Normal,3,1,Tuesday,15
521551.0,80965.0,2.0,3:49,2025-01-28,ATM,41227.0,ATM,Singapore,Multan,308.0,328450.0,123.114.93.98,Credit,11.0,6.0,18.0,3.0,2.0,Yes,Yes,2.0,Yes,1.0,Normal,1,1,Tuesday,3
884941.0,44495.0,6.0,19:05,2025-03-08,POS,62567.0,ATM,Islamabad,Karachi,568.0,436709.0,33.172.25.39,Debit,20.0,3.0,2.0,3.0,8.0,No,No,1.0,No,0.0,Normal,3,5,Saturday,19
108171.0,11928.0,1.0,15:41,2025-01-10,Online,42828.0,Restaurant,Kuala Lumpur,Faisalabad,10.0,368757.0,37.244.104.248,Debit,18.0,6.0,17.0,5.0,1.0,No,Yes,2.0,Yes,0.0,Normal,1,4,Friday,15
146030.0,95277.0,8.0,13:22,2025-04-23,Online,51759.0,Fuel,Kuala Lumpur,Lahore,338.0,885330.0,37.155.102.151,Credit,18.0,2.0,16.0,5.0,5.0,Yes,No,2.0,No,1.0,Normal,4,2,Wednesday,13
731894.0,46627.0,2.0,0:04,2025-04-24,POS,27901.0,Electronics,Singapore,Karachi,181.0,908400.0,253.17.246.211,Credit,21.0,7.0,9.0,5.0,5.0,No,Yes,2.0,Yes,1.0,Normal,4,3,Thursday,0
691659.0,84394.0,3.0,12:09,2025-02-01,ATM,69599.0,Grocery,Islamabad,Multan,174.0,506553.0,196.136.124.206,Credit,20.0,2.0,16.0,2.0,6.0,Yes,No,0.0,No,0.0,Normal,2,5,Saturday,12
589323.0,75274.0,5.0,16:29,2025-04-18,ATM,64305.0,Electronics,Singapore,Karachi,565.0,686953.0,35.254.29.80,Debit,9.0,7.0,24.0,5.0,6.0,Yes,Yes,1.0,Yes,1.0,Normal,4,4,Friday,16
952375.0,97352.0,5.0,14:39,2025-03-15,POS,21221.0,Restaurant,Kuala Lumpur,Multan,49.0,184424.0,11.73.89.39,Credit,35.0,4.0,21.0,3.0,7.0,Yes,Yes,1.0,No,0.0,Normal,3,5,Saturday,14
433935.0,77815.0,4.0,12:26,2025-01-11,ATM,38082.0,Restaurant,Lahore,Faisalabad,322.0,867596.0,53.187.178.186,Debit,37.0,4.0,6.0,1.0,1.0,Yes,Yes,1.0,No,1.0,Normal,1,5,Saturday,12
472909.0,53872.0,4.0,10:40,2025-04-07,Online,40597.0,Grocery,Dubai,Faisalabad,89.0,460100.0,71.3.65.239,Credit,20.0,4.0,13.0,5.0,4.0,Yes,Yes,2.0,No,1.0,Normal,4,0,Monday,10
952450.0,85832.0,2.0,22:35,2025-02-22,ATM,71995.0,Restaurant,Bangkok,Islamabad,531.0,751144.0,214.102.90.98,Debit,15.0,3.0,23.0,5.0,5.0,No,No,1.0,No,1.0,Normal,2,5,Saturday,22
862985.0,70574.0,2.0,11:43,2025-04-07,POS,33977.0,Clothing,Kuala Lumpur,Lahore,221.0,940393.0,45.60.238.218,Debit,28.0,7.0,2.0,5.0,2.0,No,Yes,1.0,No,0.0,Normal,4,0,Monday,11
275707.0,92510.0,9.0,2:53,2025-01-08,POS,83227.0,Fuel,Islamabad,Lahore,436.0,950307.0,14.146.172.24,Credit,26.0,6.0,15.0,1.0,7.0,Yes,Yes,1.0,No,1.0,Normal,1,2,Wednesday,2
774990.0,86133.0,6.0,23:49,2025-01-24,Online,10160.0,Restaurant,Faisalabad,Islamabad,215.0,672046.0,246.237.215.186,Debit,24.0,6.0,13.0,5.0,7.0,Yes,No,1.0,Yes,0.0,Normal,1,4,Friday,23
223921.0,19832.0,1.0,10:53,2025-04-29,POS,17632.0,Electronics,Multan,Faisalabad,431.0,178920.0,3.65.33.199,Debit,11.0,4.0,10.0,3.0,4.0,Yes,No,0.0,No,1.0,Normal,4,1,Tuesday,10
130850.0,79966.0,4.0,1:21,2025-04-12,ATM,12929.0,Grocery,Islamabad,Islamabad,496.0,166798.0,79.216.212.67,Debit,15.0,7.0,16.0,1.0,6.0,Yes,No,2.0,Yes,0.0,Normal,4,5,Saturday,1
436209.0,48635.0,9.0,15:08,2025-03-31,POS,97592.0,ATM,Dubai,Lahore,330.0,946301.0,97.135.15.111,Credit,31.0,4.0,18.0,3.0,5.0,Yes,Yes,1.0,No,1.0,Normal,3,0,Monday,15
901516.0,12189.0,9.0,11:27,2025-03-21,Online,87519.0,ATM,Kuala Lumpur,Lahore,151.0,835791.0,119.120.228.20,Debit,36.0,3.0,20.0,1.0,3.0,Yes,No,1.0,Yes,1.0,Normal,3,4,Friday,11
568626.0,79239.0,7.0,7:49,2025-02-08,ATM,82648.0,Electronics,Dubai,Karachi,491.0,696580.0,125.251.6.8,Credit,32.0,6.0,12.0,2.0,1.0,No,No,1.0,Yes,1.0,Normal,2,5,Saturday,7
315000.0,91563.0,7.0,16:48,2025-01-12,Online,60148.0,ATM,Dubai,Islamabad,584.0,165947.0,192.131.76.169,Credit,17.0,6.0,6.0,4.0,8.0,No,Yes,0.0,Yes,1.0,Normal,1,6,Sunday,16
147885.0,56604.0,9.0,8:59,2025-01-17,ATM,50207.0,Electronics,Lahore,Karachi,227.0,693970.0,7.150.236.105,Credit,36.0,3.0,15.0,2.0,5.0,No,Yes,2.0,Yes,1.0,Normal,1,4,Friday,8
350207.0,63603.0,7.0,12:53,2025-03-26,ATM,97056.0,ATM,Kuala Lumpur,Lahore,233.0,329044.0,233.127.205.101,Debit,29.0,1.0,3.0,5.0,2.0,Yes,Yes,0.0,Yes,1.0,Normal,3,2,Wednesday,12
